EntrezID	SYMBOL	TXCHROM	GeneLength	Count
258793	Olfr1502	chr19	951	0
258991	Olfr1496	chr19	1067	0
258992	Olfr1494	chr19	948	0
268783	Mtmr12	chr15	4518	2442
272009	Srsf12	chr4	2939	30
319955	Ercc6	chr14	8422	1610
320321	9430077A04Rik	NA	2780	0
320684	9630028H03Rik	chr2	2288	0
320872	Arhgap15os	chr2	1761	0
381072	Abca17	chr17	5202	16
381489	Rxfp1	chr3	2277	1
386753	Dbpht2	chr12	2995	2
432555	Gm5431	chr11	2971	0
432999	A930007A09Rik	NA	2645	47
433424	Zeb2os	chr2	1388	0
433693	Akirin2	chr4	1719	1118
435350	Serpinb6e	chr13	1494	0
497097	Xkr4	chr1	3634	1
544923	Missing	NA	8413	0
620913	Gm12185	chr11	5264	2
636187	Gm20764	NA	483	3
654822	D330041H03Rik	chr17	1484	22
665186	Gm7534	chr4	2338	0
665521	BC080696	NA	1765	0
665755	LOC665755	NA	1446	0
667214	9930111J21Rik1	chr11	3863	0
669751	Gm17756	NA	207	0
723899	Mir365-1	chr16	87	0
100038431	Gm10568	NA	1634	0
100040052	Gm2573	NA	321	431
100041351	Gm3285	chr10	664	0
100124432	Mir193b	chr16	79	0
100302498	Snora21	chr11	128	16
100503184	Gm19583	chr5	1366	0
100503198	Gm19590	NA	1195	1
100503411	NA	NA	2791	0
100503730	Gm19860	NA	799	4
100503843	NA	NA	615	0
100503874	Gm19938	NA	3259	0
100504244	NA	NA	1157	1
100504476	NA	NA	1161	0
100526500	Mir3090	chr2	87	0
100628598	Mir5129	chr2	78	0
100628603	Mir5134	chr17	78	0
100861855	Gm16170	NA	3754	301
100861882	NA	NA	573	0
100862115	LOC100862115	NA	2064	0
100862150	LOC100862150	NA	1860	0
100862166	NA	NA	1446	0
100862180	LOC100862180	NA	1446	0
100862192	LOC100862192	NA	1545	0
100862202	LOC100862202	NA	2064	0
100862230	NA	NA	1446	0
100862245	LOC100862245	NA	2047	0
100862396	NA	NA	1265	59
